,x,y,hue
99,-7.1477084,-17.566029,1
100,16.440016,-23.410982,0
101,47.91053,-33.993416,6
102,45.127136,-21.873194,0
103,16.57481,52.83538,0
104,-25.12587,-39.272102,9
105,-17.09398,-43.8308,4
106,-17.517723,-30.528471,1
107,-21.939854,-42.18921,9
108,-2.6858227,-15.036775,2
109,-26.800531,3.0679793,2
110,17.63582,22.064703,6
111,-22.796501,4.23662,2
112,-39.367455,36.20598,0
113,30.106483,-29.586065,0
114,21.043022,-32.711983,0
115,0.24238954,-21.793932,3
116,-5.079406,6.06296,8
117,16.784307,-20.541798,0
118,25.485016,10.690225,6
119,-38.764927,-4.8433223,5
120,-15.248848,53.35064,2
121,-21.485374,2.4010403,2
122,-29.037292,24.186514,7
123,-30.795961,31.194426,6
124,39.547398,38.46978,0
125,-14.694691,-22.445791,1
126,6.7087517,14.506175,9
127,39.061653,14.678339,4
128,21.49476,48.547108,0
129,30.37617,17.75065,8
130,-10.431968,33.591652,5
131,-12.179334,-9.991582,3
132,-13.25552,-16.539225,3
133,-15.248836,53.350624,2
134,-34.611122,2.6735795,2
135,-47.233078,22.900852,8
136,-0.25184155,-12.89836,3
137,-19.579344,32.17784,5
138,45.957226,8.839366,0
139,18.608345,39.83893,6
140,5.2264476,-50.6347,4
141,23.2147,-9.284413,4
142,17.59633,-28.145576,0
143,-37.87334,-0.48762113,9
144,20.132484,25.599623,6
145,5.9440947,21.900393,9
146,2.0043175,-27.81773,1
147,18.032986,24.655289,6
148,-4.4434795,-15.615813,6
149,-26.824183,3.067832,2
150,16.781527,-10.167104,6
151,19.6567,12.2891445,8
152,16.985376,1.694016,6
153,56.489998,12.485158,2
154,-14.189152,-47.54711,5
155,-49.428333,-21.915552,7
156,-29.630444,31.661388,6
157,-39.864563,23.616875,6
158,33.518574,23.393532,1
159,14.770174,46.048355,0
160,49.367744,2.953624,2
161,-18.987051,-5.3086243,3
162,-34.457325,3.079519,2
163,19.337708,-16.121489,0
164,34.040257,20.394493,1
165,-49.428333,-21.915552,7
166,22.39201,27.692072,6
167,-22.62953,-3.221039,2
168,-8.319037,-14.754729,3
169,47.484104,-12.753076,3
170,-46.48231,26.786568,4
171,43.038914,8.394869,5
172,38.18233,7.3064737,0
173,17.404644,-18.026348,0
